ID,PROBLEM,URL,DESCRIPTIONS,EXAMPLES,PROBLEM_DIFFICULTY,CATEGORY,TAG,Similar Questions ID,Accepted,Submissions,Acceptance Rate,Discussion Count,B75,NC.io,B50,G75,LC,SP
363,Happy Number,https://leetcode.com/problems/happy-number/,"Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:

Starting with any positive integer, replace the number by the sum of the squares of its digits.
Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
Those numbers for which this process ends in 1 are happy.
Return true if n is a happy number, and false if not.","Example 1:

Input: n = 19
Output: true
Explanation:
12 + 92 = 82
82 + 22 = 68
62 + 82 = 100
12 + 02 + 02 = 1
Example 2:

Input: n = 2
Output: false",Easy,Math,Math,,1.5M,2.6M,56.20%,153,,X,,,,
364,Plus One,https://leetcode.com/problems/plus-one/,"You are given a large integer represented as an integer array digits, where each digits[i] is the ith digit of the integer. The digits are ordered from most significant to least significant in left-to-right order. The large integer does not contain any leading 0's.

Increment the large integer by one and return the resulting array of digits.","Example 1:

Input: digits = [1,2,3]
Output: [1,2,4]
Explanation: The array represents the integer 123.
Incrementing by one gives 123 + 1 = 124.
Thus, the result should be [1,2,4].
Example 2:

Input: digits = [4,3,2,1]
Output: [4,3,2,2]
Explanation: The array represents the integer 4321.
Incrementing by one gives 4321 + 1 = 4322.
Thus, the result should be [4,3,2,2].
Example 3:

Input: digits = [9]
Output: [1,0]
Explanation: The array represents the integer 9.
Incrementing by one gives 9 + 1 = 10.
Thus, the result should be [1,0].
 

Constraints:

1 <= digits.length <= 100
0 <= digits[i] <= 9
digits does not contain any leading 0's.",Easy,Math,Math,,2.2M,5M,45.40%,204,,X,,,,
365,Multiply Strings,https://leetcode.com/problems/multiply-strings/,"Given two non-negative integers num1 and num2 represented as strings, return the product of num1 and num2, also represented as a string.

Note: You must not use any built-in BigInteger library or convert the inputs to integer directly.","Example 1:

Input: num1 = ""2"", num2 = ""3""
Output: ""6""
Example 2:

Input: num1 = ""123"", num2 = ""456""
Output: ""56088""
 

Constraints:

1 <= num1.length, num2.length <= 200
num1 and num2 consist of digits only.
Both num1 and num2 do not contain any leading zero, except the number 0 itself.",Medium,Math,Math,,798.8K,2M,40.50%,99,,X,,,,
366,Detect Squares,https://leetcode.com/problems/detect-squares/,"You are given a stream of points on the X-Y plane. Design an algorithm that:

Adds new points from the stream into a data structure. Duplicate points are allowed and should be treated as different points.
Given a query point, counts the number of ways to choose three points from the data structure such that the three points and the query point form an axis-aligned square with positive area.
An axis-aligned square is a square whose edges are all the same length and are either parallel or perpendicular to the x-axis and y-axis.

Implement the DetectSquares class:

DetectSquares() Initializes the object with an empty data structure.
void add(int[] point) Adds a new point point = [x, y] to the data structure.
int count(int[] point) Counts the number of ways to form axis-aligned squares with point point = [x, y] as described above.","Example 1:


Input
[""DetectSquares"", ""add"", ""add"", ""add"", ""count"", ""count"", ""add"", ""count""]
[[], [[3, 10]], [[11, 2]], [[3, 2]], [[11, 10]], [[14, 8]], [[11, 2]], [[11, 10]]]
Output
[null, null, null, null, 1, 0, null, 2]

Explanation
DetectSquares detectSquares = new DetectSquares();
detectSquares.add([3, 10]);
detectSquares.add([11, 2]);
detectSquares.add([3, 2]);
detectSquares.count([11, 10]); // return 1. You can choose:
                               //   - The first, second, and third points
detectSquares.count([14, 8]);  // return 0. The query point cannot form a square with any points in the data structure.
detectSquares.add([11, 2]);    // Adding duplicate points is allowed.
detectSquares.count([11, 10]); // return 2. You can choose:
                               //   - The first, second, and third points
                               //   - The first, third, and fourth points
 

Constraints:

point.length == 2
0 <= x, y <= 1000
At most 3000 calls in total will be made to add and count.",Medium,Math,Math,,64.7K,127.2K,50.90%,9,,X,,,,
367,Count Primes,https://leetcode.com/problems/count-primes/,"Given an integer n, return the number of prime numbers that are strictly less than n.

","Example 1:

Input: n = 10
Output: 4
Explanation: There are 4 prime numbers less than 10, they are 2, 3, 5, 7.
Example 2:

Input: n = 0
Output: 0
Example 3:

Input: n = 1
Output: 0",Medium,Math,"Math, Array, Enumeration, Math Theory",349,862.8K,2.6M,33.60%,65,,,,,X,
368,Power of Three,https://leetcode.com/problems/power-of-three/,"Given an integer n, return true if it is a power of three. Otherwise, return false.

An integer n is a power of three, if there exists an integer x such that n == 3x.

Follow up: Could you solve it without loops/recursion?

 ","Example 1:

Input: n = 27
Output: true
Explanation: 27 = 33
Example 2:

Input: n = 0
Output: false
Explanation: There is no x where 3x = 0.
Example 3:

Input: n = -1
Output: false
Explanation: There is no x where 3x = (-1).
",Easy,Math,Math,,833.9K,1.8M,46.60%,46,,,,,X,
369,Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/,"Given a string columnTitle that represents the column title as appears in an Excel sheet, return its corresponding column number.

For example:

A -> 1
B -> 2
C -> 3
...
Z -> 26
AA -> 27
AB -> 28 
...
","Example 1:

Input: columnTitle = ""A""
Output: 1
Example 2:

Input: columnTitle = ""AB""
Output: 28
Example 3:

Input: columnTitle = ""ZY""
Output: 701
 

Constraints:

1 <= columnTitle.length <= 7
columnTitle consists only of uppercase English letters.
columnTitle is in the range [""A"", ""FXSHRXW""].",Easy,Math,Math,,686.2K,1.1M,63.80%,21,,,,,X,
370,"Pow(x, n)",https://leetcode.com/problems/powx-n/,"Implement pow(x, n), which calculates x raised to the power n (i.e., xn).","Example 1:

Input: x = 2.00000, n = 10
Output: 1024.00000
Example 2:

Input: x = 2.10000, n = 3
Output: 9.26100
Example 3:

Input: x = 2.00000, n = -2
Output: 0.25000
Explanation: 2-2 = 1/22 = 1/4 = 0.25
 

Constraints:

-100.0 < x < 100.0
-231 <= n <= 231-1
n is an integer.
Either x is not zero or n > 0.
-104 <= xn <= 104",Medium,Math,Math,,,,,,,X,,X,X,
371,Task Scheduler,https://leetcode.com/problems/task-scheduler/,"You are given an array of CPU tasks, each represented by letters A to Z, and a cooling time, n. Each cycle or interval allows the completion of one task. Tasks can be completed in any order, but there's a constraint: identical tasks must be separated by at least n intervals due to cooling time.

​Return the minimum number of intervals required to complete all tasks.","Example 1:

Input: tasks = [""A"",""A"",""A"",""B"",""B"",""B""], n = 2

Output: 8

Explanation: A possible sequence is: A -> B -> idle -> A -> B -> idle -> A -> B.

After completing task A, you must wait two cycles before doing A again. The same applies to task B. In the 3rd interval, neither A nor B can be done, so you idle. By the 4th cycle, you can do A again as 2 intervals have passed.

Example 2:

Input: tasks = [""A"",""C"",""A"",""B"",""D"",""B""], n = 1

Output: 6

Explanation: A possible sequence is: A -> B -> C -> D -> A -> B.

With a cooling interval of 1, you can repeat a task after just one other task.

Example 3:

Input: tasks = [""A"",""A"",""A"", ""B"",""B"",""B""], n = 3

Output: 10

Explanation: A possible sequence is: A -> B -> idle -> idle -> A -> B -> idle -> idle -> A -> B.

There are only two types of tasks, A and B, which need to be separated by 3 intervals. This leads to idling twice between repetitions of these tasks.

 

Constraints:

1 <= tasks.length <= 104
tasks[i] is an uppercase English letter.
0 <= n <= 100",Medium,Math,Math,,629.1K,1M,59.90%,125,,X,,X,X,X
372,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,"Given an array of points where points[i] = [xi, yi] represents a point on the X-Y plane, return the maximum number of points that lie on the same straight line.

","Example 1:


Input: points = [[1,1],[2,2],[3,3]]
Output: 3
Example 2:


Input: points = [[1,1],[3,2],[5,3],[4,1],[2,3],[1,4]]
Output: 4
 

Constraints:

1 <= points.length <= 300
points[i].length == 2
-104 <= xi, yi <= 104
All the points are unique.",Hard,Math,Math,,392.3K,1.5M,26.80%,159,,,,,X,
373,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/,"Convert a non-negative integer num to its English words representation.

","Example 1:

Input: num = 123
Output: ""One Hundred Twenty Three""
Example 2:

Input: num = 12345
Output: ""Twelve Thousand Three Hundred Forty Five""
Example 3:

Input: num = 1234567
Output: ""One Million Two Hundred Thirty Four Thousand Five Hundred Sixty Seven""
 ",Hard,Math,Math,,380.8K,1.2M,30.60%,44,,,,,,
,,,,,,,,,,,,,,,,,,
375,Add Binary,https://leetcode.com/problems/add-binary/,"Given two binary strings a and b, return their sum as a binary string.

","Example 1:

Input: a = ""11"", b = ""1""
Output: ""100""
Example 2:

Input: a = ""1010"", b = ""1011""
Output: ""10101""
 

Constraints:

1 <= a.length, b.length <= 104
a and b consist only of '0' or '1' characters.
Each string does not contain leading zeros except for the zero itself.",Easy,Bit Manipulation,"Binary, Bit Manipulation",,1.5M,2.7M,53.60%,137,,,,X,,
376,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/,Write a function that takes the binary representation of a positive integer and returns the number of set bits it has (also known as the Hamming weight).,"Example 1:

Input: n = 11

Output: 3

Explanation:

The input binary string 1011 has a total of three set bits.

Example 2:

Input: n = 128

Output: 1

Explanation:

The input binary string 10000000 has a total of one set bit.

Example 3:

Input: n = 2147483645

Output: 30

Explanation:

The input binary string 1111111111111111111111111111101 has a total of thirty set bits.",Easy,Bit Manipulation,Binary,,1.5M,2.1M,71.20%,153,,X,,X,X,
377,Counting Bits,https://leetcode.com/problems/counting-bits/,"Given an integer n, return an array ans of length n + 1 such that for each i (0 <= i <= n), ans[i] is the number of 1's in the binary representation of i.

Follow up:

It is very easy to come up with a solution with a runtime of O(n log n). Can you do it in linear time O(n) and possibly in a single pass?
Can you do it without using any built-in function 
","Example 1:

Input: n = 2
Output: [0,1,1]
Explanation:
0 --> 0
1 --> 1
2 --> 10
Example 2:

Input: n = 5
Output: [0,1,1,2,1,2]
Explanation:
0 --> 0
1 --> 1
2 --> 10
3 --> 11
4 --> 100
5 --> 101
 

Constraints:

0 <= n <= 105
",Easy,Bit Manipulation,Binary,,1.1M,1.4M,78.30%,73,,X,,X,,X
378,Reverse Bits,https://leetcode.com/problems/reverse-bits/,"Reverse bits of a given 32 bits unsigned integer.

Note:

Note that in some languages, such as Java, there is no unsigned integer type. In this case, both input and output will be given as a signed integer type. They should not affect your implementation, as the integer's internal binary representation is the same, whether it is signed or unsigned.
In Java, the compiler represents the signed integers using 2's complement notation. Therefore, in Example 2 above, the input represents the signed integer -3 and the output represents the signed integer -1073741825.

Follow up: If this function is called many times, how would you optimize it?



","Example 1:

Input: n = 00000010100101000001111010011100
Output:    964176192 (00111001011110000010100101000000)
Explanation: The input binary string 00000010100101000001111010011100 represents the unsigned integer 43261596, so return 964176192 which its binary representation is 00111001011110000010100101000000.
Example 2:

Input: n = 11111111111111111111111111111101
Output:   3221225471 (10111111111111111111111111111111)
Explanation: The input binary string 11111111111111111111111111111101 represents the unsigned integer 4294967293, so return 3221225471 which its binary representation is 10111111111111111111111111111111.
 

Constraints:

The input must be a binary string of length 32",Easy,Bit Manipulation,Binary,,797.6K,1.4M,58.70%,69,,X,,X,,
379,Reverse Integer,https://leetcode.com/problems/reverse-integer/,"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0.

Assume the environment does not allow you to store 64-bit integers (signed or unsigned).

Follow up: If this function is called many times, how would you optimize it?
","Example 1:

Input: x = 123
Output: 321
Example 2:

Input: x = -123
Output: -321
Example 3:

Input: x = 120
Output: 21",Medium,Bit Manipulation,Binary,,3.2M,11.2M,28.60%,339,,X,,X,,
380,Sum of Two Integers,https://leetcode.com/problems/sum-of-two-integers/,"Given two integers a and b, return the sum of the two integers without using the operators + and -.

","Example 1:

Input: a = 1, b = 2
Output: 3
Example 2:

Input: a = 2, b = 3
Output: 5",Medium,Bit Manipulation,Binary,,480.1K,924.5K,51.90%,64,,X,,,,
381,Divide Two Integers,https://leetcode.com/problems/divide-two-integers/,"Given two integers dividend and divisor, divide two integers without using multiplication, division, and mod operator.

The integer division should truncate toward zero, which means losing its fractional part. For example, 8.345 would be truncated to 8, and -2.7335 would be truncated to -2.

Return the quotient after dividing dividend by divisor.

Note: Assume we are dealing with an environment that could only store integers within the 32-bit signed integer range: [−231, 231 − 1]. For this problem, if the quotient is strictly greater than 231 - 1, then return 231 - 1, and if the quotient is strictly less than -231, then return -231.","Example 1:

Input: dividend = 10, divisor = 3
Output: 3
Explanation: 10/3 = 3.33333.. which is truncated to 3.
Example 2:

Input: dividend = 7, divisor = -3
Output: -2
Explanation: 7/-3 = -2.33333.. which is truncated to -2.
 

Constraints:

-231 <= dividend, divisor <= 231 - 1
divisor != 0",Medium,Bit Manipulation,Binary,,744.8K,4.3M,17.50%,206,,,,,,
